,language,front,elevation
nuku1263,Nukuini,3,244
ocai1244,Ocaina,7,114
ofay1240,Ofayé,6,344
olub1238,Olu'bo,3,721
omag1248,Omagua,3,71
onaa1245,Selk'nam,4,108
orej1242,Maijiki,3,144
orow1243,Oro Win,5,381
paca1246,Pacahuara,2,152
paez1247,Páez,23,3472
pait1247,Pai Tavytera,5,284
pali1279,Palikúr,5,42
pana1307,Panará,6,309
pano1254,Panoan Katukína,2,239
pano1255,Panobo,2,534
para1310,Pará Arára,3,181
para1311,Paraguayan Guaraní,4,184
para1312,Parakanã,2,177
para1315,Pará Gavião,10,128
para1316,Paraujano,6,65
pare1272,Parecís,4,384
paum1247,Paumari,2,41
pemo1245,Pémono,4,169
pemo1248,Pemon,8,838
piap1246,Piapoco,3,126
piar1243,Piaroa,4,92
pich1237,Pichis Ashéninka,11,1033
pila1245,Pilagá,5,119
pira1253,Pirahã,1,75
pira1254,Wa'ikhana,5,143
pisa1245,Pisamira,3,181
poya1241,Poyanáwa,3,215
puel1244,Puelche,4,121
puin1248,Puinave,3,77
pume1238,Pumé,7,53
puri1262,Puri,4,1737
qawa1238,Qawasqar,10,80
resi1247,Resígaro,6,127
reye1240,Reyesano,3,254
rikb1245,Rikbaktsa,5,248
saba1268,Sabanê,2,312
saki1248,Mekens,6,156
sala1272,Salasaca Highland Quichua,3,2483
sali1298,Sáliba,7,119
sanm1289,San Martín Quechua,3,950
sant1432,Santiago del Estero Quichua,4,138
sanu1240,Sanumá,10,121
saop1235,São Paulo Kaingáng,7,736
sate1243,Sateré-Mawé,7,58
seco1241,Secoya,5,211
shal1242,Shall-Zwall,2,578
shar1245,Sharanahua,5,329
shua1257,Shuar,3,1256
sian1254,Siang,2,52
sion1247,Siona-Tetete,5,236
siri1273,Sirionó,7,182
siri1274,Siriano,5,186
suru1262,Suruí,6,204
suru1263,Suruahá,6,124
suya1243,Suyá,13,283
taca1256,Tacana,3,207
tani1257,Tanimuca-Retuarã,5,128
tapi1253,Tapieté,4,304
tapi1254,Tapirapé,5,181
tari1256,Tariana,9,114
tatu1247,Tatuyo,4,219
taus1253,Taushiro,3,212
tehu1242,Tehuelche,3,299
temb1276,Tenetehara,2,54
tena1240,Tena Lowland Quichua,4,978
tenh1241,Tenharim-Parintintin-Diahoi,5,96
tere1279,Terena-Kinikinao-Chane,5,233
ticu1245,Ticuna,9,150
tini1245,Tinigua,9,264
toba1269,Toba,14,139
toca1235,Tocantins Asurini,2,99
trin1274,Trinitario,11,165
trio1238,Trió,5,638
trum1247,Trumai,3,284
tuca1252,Tucano,5,144
tupa1250,Tuparí,7,247
tupi1273,Tupinambá,6,70
tuyu1244,Tuyuca,5,182
ucay1237,Ucayali-Yurúa Ashéninka,11,324
umot1240,Umotína,4,135
urar1246,Urarina,4,125
urub1250,Urubú-Kaapor,5,95
urue1240,Uru-Eu-Wau-Wau,5,251
uruu1244,Uru,8,3822
vile1241,Vilela,3,54
waim1253,Waimiri-Atroari,6,83
waim1255,Waimaha,5,167
waiw1244,Waiwai,4,409
waor1240,Waorani,14,259
wapi1253,Wapishana,3,130
wara1303,Warao,3,26
wari1268,Wari',5,153
waur1244,Waurá,7,362
waya1269,Wayana,3,182
waya1270,Wayampi,10,204
wayu1243,Wayuu,3,37
wich1262,Wichí Lhamtés Nocten,5,656
woun1238,Woun Meu,6,62
xava1240,Xavánte,6,323
xere1240,Xerénte,6,305
xeta1241,Xetá,5,690
xing1248,Xingú Asuriní,5,184
xipa1240,Xipaya,4,90
xiri1243,Xiriâna,5,263
xokl1240,Xokleng,8,794
yaba1248,Yabarana,4,808
yagu1244,Yagua,5,97
yama1264,Yámana,3,279
yame1242,Yameo,5,143
yami1256,Yaminahua,3,322
yane1238,Yanesha',11,2474
yano1261,Yanomamö,17,548
yano1262,Yanomámi,24,341
yavi1244,Yavitero,4,120
yawa1260,Yawanawa,2,261
yawa1261,Yawalapití,4,331
yine1238,Yine,7,355
yora1241,Yora,3,569
yucu1253,Yucuna,4,164
yuhu1238,Yuhup,11,109
yukp1241,Yukpa,7,1989
yuqu1240,Yuqui,12,208
yura1255,Yuracaré,6,209
yuru1263,Yurutí,3,176
yuwa1244,Hoti,10,848
zapa1253,Záparo,3,207
zoee1240,Zo'é,5,87
