,language,dorsal,elevation
nuku1263,Nukuini,11,244
ocai1244,Ocaina,16,114
ofay1240,Ofayé,15,344
olub1238,Olu'bo,10,721
omag1248,Omagua,9,71
onaa1245,Selk'nam,15,108
orej1242,Maijiki,12,144
orow1243,Oro Win,9,381
paca1246,Pacahuara,7,152
paez1247,Páez,34,3472
pait1247,Pai Tavytera,18,284
pali1279,Palikúr,15,42
pana1307,Panará,18,309
pano1254,Panoan Katukína,7,239
pano1255,Panobo,8,534
para1310,Pará Arára,10,181
para1311,Paraguayan Guaraní,19,184
para1312,Parakanã,8,177
para1315,Pará Gavião,33,128
para1316,Paraujano,16,65
pare1272,Parecís,9,384
paum1247,Paumari,9,41
pemo1245,Pémono,11,169
pemo1248,Pemon,24,838
piap1246,Piapoco,6,126
piar1243,Piaroa,14,92
pich1237,Pichis Ashéninka,18,1033
pila1245,Pilagá,12,119
pira1253,Pirahã,5,75
pira1254,Wa'ikhana,16,143
pisa1245,Pisamira,10,181
poya1241,Poyanáwa,10,215
puel1244,Puelche,15,121
puin1248,Puinave,12,77
pume1238,Pumé,22,53
puri1262,Puri,9,1737
qawa1238,Qawasqar,24,80
resi1247,Resígaro,13,127
reye1240,Reyesano,8,254
rikb1245,Rikbaktsa,17,248
saba1268,Sabanê,6,312
saki1248,Mekens,17,156
sala1272,Salasaca Highland Quichua,10,2483
sali1298,Sáliba,18,119
sanm1289,San Martín Quechua,8,950
sant1432,Santiago del Estero Quichua,14,138
sanu1240,Sanumá,38,121
saop1235,São Paulo Kaingáng,19,736
sate1243,Sateré-Mawé,19,58
seco1241,Secoya,16,211
shal1242,Shall-Zwall,7,578
shar1245,Sharanahua,20,329
shua1257,Shuar,11,1256
sian1254,Siang,6,52
sion1247,Siona-Tetete,18,236
siri1273,Sirionó,19,182
siri1274,Siriano,16,186
suru1262,Suruí,16,204
suru1263,Suruahá,12,124
suya1243,Suyá,42,283
taca1256,Tacana,8,207
tani1257,Tanimuca-Retuarã,13,128
tapi1253,Tapieté,16,304
tapi1254,Tapirapé,15,181
tari1256,Tariana,22,114
tatu1247,Tatuyo,11,219
taus1253,Taushiro,11,212
tehu1242,Tehuelche,16,299
temb1276,Tenetehara,12,54
tena1240,Tena Lowland Quichua,10,978
tenh1241,Tenharim-Parintintin-Diahoi,17,96
