,language,coronal,elevation
nuku1263,Nukuini,4,244
ocai1244,Ocaina,15,114
ofay1240,Ofayé,7,344
olub1238,Olu'bo,7,721
omag1248,Omagua,7,71
onaa1245,Selk'nam,9,108
orej1242,Maijiki,5,144
orow1243,Oro Win,4,381
paca1246,Pacahuara,8,152
paez1247,Páez,17,3472
pait1247,Pai Tavytera,6,284
pali1279,Palikúr,5,42
pana1307,Panará,4,309
pano1254,Panoan Katukína,8,239
pano1255,Panobo,7,534
para1310,Pará Arára,5,181
para1311,Paraguayan Guaraní,7,184
para1312,Parakanã,4,177
para1315,Pará Gavião,7,128
para1316,Paraujano,7,65
pare1272,Parecís,7,384
paum1247,Paumari,11,41
pemo1245,Pémono,5,169
pemo1248,Pemon,8,838
piap1246,Piapoco,7,126
piar1243,Piaroa,8,92
pich1237,Pichis Ashéninka,10,1033
pila1245,Pilagá,8,119
pira1253,Pirahã,2,75
pira1254,Wa'ikhana,4,143
pisa1245,Pisamira,4,181
poya1241,Poyanáwa,7,215
puel1244,Puelche,16,121
puin1248,Puinave,3,77
pume1238,Pumé,10,53
puri1262,Puri,6,1737
qawa1238,Qawasqar,17,80
resi1247,Resígaro,19,127
reye1240,Reyesano,10,254
rikb1245,Rikbaktsa,7,248
saba1268,Sabanê,5,312
saki1248,Mekens,6,156
sala1272,Salasaca Highland Quichua,13,2483
sali1298,Sáliba,9,119
sanm1289,San Martín Quechua,9,950
sant1432,Santiago del Estero Quichua,9,138
sanu1240,Sanumá,11,121
saop1235,São Paulo Kaingáng,5,736
sate1243,Sateré-Mawé,4,58
seco1241,Secoya,6,211
shal1242,Shall-Zwall,7,578
shar1245,Sharanahua,17,329
shua1257,Shuar,7,1256
sian1254,Siang,7,52
sion1247,Siona-Tetete,6,236
siri1273,Sirionó,8,182
siri1274,Siriano,4,186
suru1262,Suruí,10,204
suru1263,Suruahá,12,124
suya1243,Suyá,14,283
taca1256,Tacana,10,207
tani1257,Tanimuca-Retuarã,4,128
tapi1253,Tapieté,7,304
tapi1254,Tapirapé,4,181
tari1256,Tariana,12,114
tatu1247,Tatuyo,4,219
taus1253,Taushiro,5,212
tehu1242,Tehuelche,10,299
temb1276,Tenetehara,5,54
tena1240,Tena Lowland Quichua,13,978
tenh1241,Tenharim-Parintintin-Diahoi,5,96
tere1279,Terena-Kinikinao-Chane,6,233
ticu1245,Ticuna,7,150
tini1245,Tinigua,11,264
toba1269,Toba,20,139
toca1235,Tocantins Asurini,3,99
trin1274,Trinitario,10,165
trio1238,Trió,4,638
trum1247,Trumai,13,284
