,language,low,elevation
nuku1263,Nukuini,2,244
ocai1244,Ocaina,2,114
ofay1240,Ofayé,2,344
olub1238,Olu'bo,1,721
omag1248,Omagua,1,71
onaa1245,Selk'nam,2,108
orej1242,Maijiki,1,144
orow1243,Oro Win,1,381
paca1246,Pacahuara,1,152
paez1247,Páez,4,3472
pait1247,Pai Tavytera,2,284
pali1279,Palikúr,2,42
pana1307,Panará,2,309
pano1254,Panoan Katukína,1,239
pano1255,Panobo,1,534
para1310,Pará Arára,1,181
para1311,Paraguayan Guaraní,2,184
para1312,Parakanã,1,177
para1315,Pará Gavião,2,128
para1316,Paraujano,2,65
pare1272,Parecís,1,384
paum1247,Paumari,2,41
pemo1245,Pémono,1,169
pemo1248,Pemon,3,838
piap1246,Piapoco,1,126
piar1243,Piaroa,2,92
pich1237,Pichis Ashéninka,2,1033
pila1245,Pilagá,2,119
pira1253,Pirahã,1,75
pira1254,Wa'ikhana,2,143
pisa1245,Pisamira,1,181
poya1241,Poyanáwa,2,215
puel1244,Puelche,1,121
puin1248,Puinave,2,77
pume1238,Pumé,2,53
puri1262,Puri,1,1737
qawa1238,Qawasqar,4,80
resi1247,Resígaro,1,127
reye1240,Reyesano,1,254
rikb1245,Rikbaktsa,2,248
saba1268,Sabanê,1,312
saki1248,Mekens,2,156
sala1272,Salasaca Highland Quichua,1,2483
sali1298,Sáliba,2,119
sanm1289,San Martín Quechua,1,950
sant1432,Santiago del Estero Quichua,1,138
sanu1240,Sanumá,5,121
saop1235,São Paulo Kaingáng,1,736
sate1243,Sateré-Mawé,3,58
seco1241,Secoya,2,211
shal1242,Shall-Zwall,1,578
shar1245,Sharanahua,4,329
shua1257,Shuar,2,1256
sian1254,Siang,1,52
sion1247,Siona-Tetete,2,236
siri1273,Sirionó,2,182
siri1274,Siriano,2,186
suru1262,Suruí,2,204
suru1263,Suruahá,1,124
suya1243,Suyá,4,283
taca1256,Tacana,1,207
tani1257,Tanimuca-Retuarã,2,128
tapi1253,Tapieté,2,304
tapi1254,Tapirapé,2,181
tari1256,Tariana,3,114
tatu1247,Tatuyo,1,219
taus1253,Taushiro,1,212
tehu1242,Tehuelche,2,299
temb1276,Tenetehara,1,54
tena1240,Tena Lowland Quichua,1,978
tenh1241,Tenharim-Parintintin-Diahoi,2,96
tere1279,Terena-Kinikinao-Chane,2,233
ticu1245,Ticuna,3,150
tini1245,Tinigua,3,264
toba1269,Toba,4,139
toca1235,Tocantins Asurini,1,99
trin1274,Trinitario,4,165
trio1238,Trió,2,638
trum1247,Trumai,1,284
tuca1252,Tucano,2,144
tupa1250,Tuparí,3,247
tupi1273,Tupinambá,2,70
tuyu1244,Tuyuca,2,182
ucay1237,Ucayali-Yurúa Ashéninka,2,324
umot1240,Umotína,1,135
urar1246,Urarina,1,125
urub1250,Urubú-Kaapor,2,95
urue1240,Uru-Eu-Wau-Wau,2,251
uruu1244,Uru,2,3822
vile1241,Vilela,1,54
waim1253,Waimiri-Atroari,2,83
waim1255,Waimaha,2,167
waiw1244,Waiwai,1,409
waor1240,Waorani,8,259
wapi1253,Wapishana,1,130
wara1303,Warao,1,26
wari1268,Wari',1,153
waur1244,Waurá,2,362
waya1269,Wayana,1,182
waya1270,Wayampi,4,204
wayu1243,Wayuu,1,37
wich1262,Wichí Lhamtés Nocten,1,656
woun1238,Woun Meu,2,62
xava1240,Xavánte,2,323
xere1240,Xerénte,1,305
xeta1241,Xetá,2,690
xing1248,Xingú Asuriní,2,184
xipa1240,Xipaya,2,90
xiri1243,Xiriâna,1,263
xokl1240,Xokleng,2,794
yaba1248,Yabarana,1,808
yagu1244,Yagua,2,97
yama1264,Yámana,1,279
yame1242,Yameo,2,143
yami1256,Yaminahua,2,322
yane1238,Yanesha',3,2474
yano1261,Yanomamö,7,548
yano1262,Yanomámi,10,341
yavi1244,Yavitero,1,120
yawa1260,Yawanawa,1,261
yawa1261,Yawalapití,1,331
yine1238,Yine,2,355
yora1241,Yora,2,569
yucu1253,Yucuna,1,164
yuhu1238,Yuhup,2,109
yukp1241,Yukpa,2,1989
yuqu1240,Yuqui,4,208
yura1255,Yuracaré,2,209
yuru1263,Yurutí,1,176
yuwa1244,Hoti,2,848
zapa1253,Záparo,2,207
zoee1240,Zo'é,2,87
