Glottocode,language,labial,elevation
nuku1263,Nukuini,8,244
ocai1244,Ocaina,8,114
ofay1240,Ofayé,4,344
olub1238,Olu'bo,6,721
omag1248,Omagua,5,71
onaa1245,Selk'nam,7,108
orej1242,Maijiki,7,144
orow1243,Oro Win,7,381
paca1246,Pacahuara,5,152
paez1247,Páez,13,3472
pait1247,Pai Tavytera,9,284
pali1279,Palikúr,8,42
pana1307,Panará,8,309
pano1254,Panoan Katukína,5,239
pano1255,Panobo,5,534
para1310,Pará Arára,5,181
para1311,Paraguayan Guaraní,9,184
para1312,Parakanã,5,177
para1315,Pará Gavião,14,128
para1316,Paraujano,7,65
pare1272,Parecís,6,384
paum1247,Paumari,8,41
pemo1245,Pémono,5,169
pemo1248,Pemon,12,838
piap1246,Piapoco,5,126
piar1243,Piaroa,10,92
pich1237,Pichis Ashéninka,8,1033
pila1245,Pilagá,4,119
pira1253,Pirahã,3,75
pira1254,Wa'ikhana,7,143
pisa1245,Pisamira,5,181
poya1241,Poyanáwa,6,215
puel1244,Puelche,7,121
puin1248,Puinave,5,77
pume1238,Pumé,10,53
puri1262,Puri,6,1737
qawa1238,Qawasqar,13,80
resi1247,Resígaro,9,127
reye1240,Reyesano,6,254
rikb1245,Rikbaktsa,8,248
saba1268,Sabanê,5,312
saki1248,Mekens,7,156
sala1272,Salasaca Highland Quichua,6,2483
sali1298,Sáliba,11,119
sanm1289,San Martín Quechua,4,950
sant1432,Santiago del Estero Quichua,6,138
sanu1240,Sanumá,16,121
saop1235,São Paulo Kaingáng,8,736
sate1243,Sateré-Mawé,7,58
seco1241,Secoya,8,211
shal1242,Shall-Zwall,5,578
shar1245,Sharanahua,12,329
shua1257,Shuar,5,1256
sian1254,Siang,4,52
sion1247,Siona-Tetete,11,236
siri1273,Sirionó,9,182
siri1274,Siriano,7,186
suru1262,Suruí,6,204
suru1263,Suruahá,4,124
suya1243,Suyá,18,283
taca1256,Tacana,6,207
tani1257,Tanimuca-Retuarã,7,128
tapi1253,Tapieté,8,304
tapi1254,Tapirapé,6,181
tari1256,Tariana,12,114
tatu1247,Tatuyo,5,219
taus1253,Taushiro,4,212
tehu1242,Tehuelche,7,299
temb1276,Tenetehara,7,54
tena1240,Tena Lowland Quichua,5,978
tenh1241,Tenharim-Parintintin-Diahoi,9,96
tere1279,Terena-Kinikinao-Chane,7,233
ticu1245,Ticuna,11,150
tini1245,Tinigua,13,264
toba1269,Toba,10,139
toca1235,Tocantins Asurini,5,99
trin1274,Trinitario,8,165
trio1238,Trió,7,638
trum1247,Trumai,6,284
tuca1252,Tucano,8,144
tupa1250,Tuparí,7,247
tupi1273,Tupinambá,8,70
tuyu1244,Tuyuca,7,182
ucay1237,Ucayali-Yurúa Ashéninka,8,324
umot1240,Umotína,6,135
urar1246,Urarina,6,125
urub1250,Urubú-Kaapor,9,95
urue1240,Uru-Eu-Wau-Wau,9,251
uruu1244,Uru,10,3822
vile1241,Vilela,7,54
waim1253,Waimiri-Atroari,7,83
waim1255,Waimaha,7,167
waiw1244,Waiwai,5,409
waor1240,Waorani,8,259
wapi1253,Wapishana,5,130
wara1303,Warao,6,26
wari1268,Wari',9,153
waur1244,Waurá,5,362
waya1269,Wayana,3,182
waya1270,Wayampi,18,204
wayu1243,Wayuu,5,37
wich1262,Wichí Lhamtés Nocten,9,656
woun1238,Woun Meu,9,62
xava1240,Xavánte,8,323
xere1240,Xerénte,9,305
xeta1241,Xetá,6,690
xing1248,Xingú Asuriní,10,184
xipa1240,Xipaya,6,90
xiri1243,Xiriâna,6,263
xokl1240,Xokleng,11,794
yaba1248,Yabarana,5,808
yagu1244,Yagua,7,97
yama1264,Yámana,5,279
yame1242,Yameo,5,143
yami1256,Yaminahua,5,322
yane1238,Yanesha',10,2474
yano1261,Yanomamö,23,548
yano1262,Yanomámi,34,341
yavi1244,Yavitero,4,120
yawa1260,Yawanawa,5,261
yawa1261,Yawalapití,4,331
yine1238,Yine,5,355
yora1241,Yora,5,569
yucu1253,Yucuna,6,164
yuhu1238,Yuhup,10,109
yukp1241,Yukpa,11,1989
yuqu1240,Yuqui,14,208
yura1255,Yuracaré,6,209
yuru1263,Yurutí,5,176
yuwa1244,Hoti,10,848
zapa1253,Záparo,6,207
zoee1240,Zo'é,8,87
