Glottocode,language,back,elevation
maas1239,Maasina Fulfulde,5,298
madi1260,Ma'di,5,1387
maka1304,Makaa,7,693
mama1271,Mamara Senoufo,11,323
mamp1244,Mampruli,5,152
mang1394,Mangbetu,5,736
mboc1235,Mbo (Cameroon),4,835
mend1266,Mende (Sierra Leone),4,172
meta1238,Meta',4,1032
mofu1248,Mofu-Gudur,2,730
moss1236,Mossi,10,157
mund1326,Mündü,5,872
mund1327,Mundani,9,321
murl1244,Murle,7,452
mwag1236,Mwaghavul,5,1330
mwan1250,Mwan,6,281
nafa1258,Nafaanra,9,307
nawd1238,Nawdm,7,333
ngam1268,Ngambay,6,479
ngan1299,Ngangam,7,161
ngas1240,Ngas,2,1130
ngba1285,Ngbaka Minagende,6,363
ngie1241,Ngiemboon,4,1797
nige1255,Western Mambila,6,1281
noma1260,Nomaande,7,759
nort2765,Northern Kissi,10,416
nort2774,Northern Ngbandi,6,404
nort2775,Northwest Gbaya,9,961
nort2780,Northern Dagara,5,305
nort2784,Northern Nuni,13,285
nort2787,Northern Toussian,7,417
nort2810,Northern Grebo,7,205
nort2819,Northern Bobo Madaré,7,467
ntch1242,Ntcham,4,243
nucl1347,Wolof,9,53
nucl1417,Igbo,5,8
nucl1418,Bassa,4,56
nucl1683,Daba,3,813
nugu1242,Nugunu (Cameroon),3,481
nupe1254,Nupe-Nupe-Tako,4,127
nyab1255,Nyabwa,8,254
park1239,Parkwa,2,541
pula1262,Pular,5,123
pula1263,Pulaar,6,47
rend1243,Rendille,6,532
saba1262,Sabaot,7,3036
sang1328,Sango,12,503
sena1262,Senara Sénoufo,13,361
sere1260,Sereer,8,4
siss1242,Sissala of Burkina Faso,22,292
soni1259,Soninke,17,157
sout2774,Southeast Ijo,9,7
sout2789,Central Dagaare,13,342
suda1236,Sudanese Arabic,9,504
susu1250,Susu,8,238
swah1253,Swahili,3,200
tama1365,Tamasheq,11,292
taro1263,Tarok,3,210
tawa1286,Tawallammat Tamajaq,11,282
teda1241,Tedaga,5,477
teen1242,Téén,7,329
temm1241,Tem,5,383
tepo1239,Tepo Krumen,9,192
tika1246,Tikar,6,815
timn1235,Timne,5,48
tofi1235,Tofin Gbe,7,0
topo1242,Toposa,5,458
toro1252,Toro So Dogon,10,279
tour1242,Toura (Côte d'Ivoire),13,546
vagl1239,Vagla,16,345
veng1238,Vengo,7,1680
vute1244,Vute,10,894
waam1244,Waama,11,477
wann1242,Wan,6,274
weno1238,Wobe-Wè Northern,13,314
west2450,West-Central Limba,4,63
west2454,Western Niger Fulfulde,3,293
west2466,Western Karaboro,10,292
west2500,Western Maninkakan,5,71
yamb1251,Yamba,3,1160
yamb1252,Yambeta,4,717
yaou1238,Yaouré,9,235
yemb1246,Yemba,4,1324
yomm1242,Yom,5,418
yoru1245,Yoruba,12,105
zand1248,Zande,3,638
zarm1239,Zarma-Kaado,7,178
zulg1242,Zulgo-Gemzek,1,719
